#,HAuCl4,PVP,Glucose,NaOH,Time,A450,WL,FWHM,R,std
53,5.49,12.30,16.65,17.40,7.45,0.05,547.00,141.00,2.92,1.75e-03 4.00e+00 3.00e+00 4.90e-01
54,4.41,12.85,14.51,4.16,3.30,0.02,542.50,143.00,4.96,5.105e-03 4.500e+00 2.700e+01 2.225e+00
55,14.06,14.75,5.53,5.65,7.44,0.00,0.00,470.00,0.00,0 0 0 0
56,19.46,9.44,6.11,7.48,8.20,0.00,712.00,374.00,0.59,0. 0. 0. 0.
57,15.23,10.85,16.63,18.92,5.32,0.12,546.00,140.00,2.72,0.00309 0.      2.      0.15   
58,7.39,13.24,12.17,16.68,7.78,0.06,542.00,147.00,3.39,0.00275 1.      1.      0.04   
59,14.72,11.97,5.18,10.65,6.88,0.02,536.00,163.00,2.60,4.63e-03 2.10e+01 9.00e+00 1.85e-01
60,7.97,16.38,15.13,7.73,9.70,0.05,547.00,152.00,3.01,0.00443 3.      0.      0.28   
61,16.84,15.38,10.86,16.49,7.65,0.07,526.00,148.00,3.97,2.005e-03 1.000e+00 6.000e+00 3.900e-01
62,11.78,4.44,13.53,14.14,9.36,0.13,557.00,150.00,1.76,1.325e-03 1.000e+00 2.000e+00 5.500e-02
63,16.02,10.63,15.64,18.60,5.47,0.12,540.00,155.00,2.64,1.915e-03 2.000e+00 3.000e+00 4.000e-02
64,12.67,19.67,8.99,8.93,2.02,0.04,579.50,151.00,1.47,0.010895 4.5      9.       0.21    
65,8.41,17.75,16.99,5.95,6.57,0.07,525.50,124.00,4.78,0.003795 2.5      0.       0.155   
66,4.49,6.71,12.69,4.39,3.67,0.03,546.00,173.00,1.97,3.3e-04 1.0e+00 3.0e+00 2.0e-02
67,16.52,4.52,9.87,11.48,2.77,0.13,543.00,138.00,2.64,0.00522 3.      2.      0.15   
68,6.09,16.93,15.81,16.43,4.55,0.05,537.00,146.00,3.22,0.007775 3.       6.       0.425   
69,7.52,6.95,14.00,16.82,9.15,0.07,551.00,148.00,2.22,1.95e-04 1.00e+00 0.00e+00 5.00e-02
70,18.10,18.28,10.03,12.32,2.47,0.05,526.50,153.00,3.61,9.775e-03 1.500e+00 1.300e+01 5.000e-01
71,17.19,18.79,11.59,13.19,2.93,0.05,528.00,157.00,3.44,2.1645e-02 2.0000e+00 2.5000e+01 6.0500e-01
72,15.66,10.11,4.03,14.81,6.77,0.02,523.00,130.00,5.07,0. 0. 0. 0.
73,15.43,10.69,16.88,19.45,4.83,0.12,541.00,130.00,3.18,3.635e-03 0.000e+00 4.000e+00 1.300e-01
74,5.15,4.21,18.19,15.94,5.27,0.05,559.00,184.00,1.34,1.66e-03 0.00e+00 2.00e+00 3.50e-02
75,15.15,4.03,8.12,9.08,2.25,0.07,547.50,147.00,2.21,7.05e-04 2.50e+00 1.00e+00 1.60e-01
76,4.59,13.74,11.01,10.16,4.15,0.03,538.00,174.00,2.40,3.095e-03 4.000e+00 0.000e+00 1.650e-01
77,11.69,18.79,8.11,10.92,8.60,0.03,527.50,135.00,4.26,5.83e-03 1.50e+00 1.30e+01 7.55e-01
78,11.17,15.96,16.19,11.82,9.62,0.06,534.50,150.00,2.96,2.50e-04 5.00e-01 4.00e+00 1.45e-01
79,15.20,10.42,17.35,19.98,4.64,0.11,542.50,143.00,2.65,0.005885 1.5      1.       0.09    
80,18.78,9.03,12.91,17.92,3.41,0.10,542.50,142.00,2.68,0.004265 2.5      4.       0.19    
